,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,30870,,,,59870,,,,,,,,,,,,,,,22730,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,,99603,,,,,99121,3400,,,,,,,,,,,,,,,,12880,,,,,29262,,,,,,,,,,,,,71961,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,75410,9690,,85210,,,,,,,,,,,,,4572,59810,,,,59810,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60410,,,,,,,60410,,,,60320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,,,,,,,99121,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73872,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,,,,22260,,,,,,,,,,,,,2282,59810,,,,59842,,,,,,
,,,,,26860,19510,,,,,,,,,,,,,,,,,,,,,,,,9581,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,,,,,,,30430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,98750,,,,,,,,,,99121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4572,59810,,,,,,,,,,
,,,,,6360,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,1230,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,,,,,,,30430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,59810,,,,,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,4572,,,,,,,,,,
,,,,,26860,,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,1230,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
,,,,,26860,,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62198,,,,,,,,,,,
,,,,,2370,,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46465,,,,,,,,,,,
,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,9575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
